Position,Count
"Instructional Support Technician II, Range 8",1
"Storekeeper I, Range 1",1
"Student Services Professional I, Range 1",1
"Head Athletic Trainer - 12 Month, Range 1",1
"Broadcast Engineer -12 Month, Range 0",1
"Casual Worker, Range 0",1
"Coaching Assistant - 10 Month, Range 0",1
"Coaching Specialist - 10 Month, Range 0",1
"Buyer III, Range 1",1
"Supervising Automotive/Equipment Mechanic, Range 1",1
"Confidential Administrative Support -12 Month, Range 1",1
"Supervising Carpenter, Range 1",1
"Administrative Support Coordinator -11/12, Range 1",1
"Supervising Electrician, Range 1",1
"Confidential Administrative Support -12 Month, Range 3",1
"Clinical Laboratory Scientist II, Range 8",1
"Supervising Painter, Range 1",1
"Administrator II, Range 2",1
"Accountant I, Range 1",1
"Buyer I, Range 1",1
"Confidential Technical Support -12 Month, Range 3",1
"Visiting Faculty - Academic Year, Range 0",1
"Accounting Technician I, Range 1",1
"Crop Technician II, Range 1",1
"Confidential Office Support -12 Month, Range 1",1
"Accountant III, Range 1",1
"Corporal, Range 0",1
"Credential Analyst I, Range 1",1
"Associate, Academic and Institutional Studies I, Range 1",2
"Athletic Trainer I - 12 Month, Range 1",2
"Student Trainee, Off-Campus Work Study, Range 0",2
"Lead Carpenter, Range 1",2
"Instructional Support Technician I, Range 1",2
"Irrigation Specialist, Range 1",2
"Analyst/Programmer -12, Range 3",2
"Air Conditioning/Refrigeration Mechanic, Range 1",2
"Student Services Professional, Academic-Related II - 12 Mont, Range 0",2
"Department Chair - Academic Year, Range 4",2
"Student Trainee, On-Campus Work Study, Range 0",2
"Planner/Estimator/Scheduler, Range 1",2
"Automotive/Equipment Mechanic, Range 1",2
"Supervising Building Service Engineer, Range 1",2
"Nurse Practitioner, Range 6",2
"Operating Systems Analyst -12, Range 1",2
"Supervising Locksmith, Range 1",2
"Supervising Plumber, Range 1",2
"Payroll Technician II, Range 1",2
"Performing Arts Technician -12 Month, Range 2",2
"Pharmacy Technician, Range 1",2
"Lecturer - 12 Month, Range 5",2
"Library Services Specialist II, Range 1",2
"Inventory Clerk, Range 1",2
"Physician Assistant, Range 1",2
"Sergeant, Range 0",2
"Student Services Professional II, Range 6",2
"Grant-Related/Specially Funded Instructional Faculty - AY, Range 0",2
"Facilities Worker I, Range 1",2
"Clinical Laboratory Scientist II, Range 1",2
"Buyer II, Range 1",2
"Extended Education Specialist I, Range 1",2
"Equipment Technician III, Electronic, Range 1",2
"Equipment Technician II, Mechanical, Range 8",2
"Equipment Systems Specialist -12, Range 3",2
"Desktop Publishing/Graphic Specialist -12 Month, Range 2",2
"Student Services Professional I, Range 2",2
"Instructional Faculty - 12 Month, Range 5",2
"Equipment Technician III, Specialized Equipment, Range 1",3
"Facilities Maintenance Mechanic, Range 1",3
"Media Production Specialist -12 Month, Range 2",3
"Light Automotive Equipment Operator, Range 1",3
"Equipment Systems Specialist -12, Range 1",3
"Lecturer - 12 Month, Range 2",3
"Administrator III - Academic Year, Range 0",3
"Library Services Specialist III, Range 8",3
"Student Services Professional, Academic-Related Ii-Ay, Range 0",3
"Registered Nurse II, Range 8",3
"Lead Building Service Engineer, Range 1",3
"Athletic Equipment Attendant I, Range 1",3
"Information Technology Consultant -11/12, Range 2",3
"Lead Groundsworker, Range 1",4
"Accountant II, Range 1",4
"Performing Arts Technician -12 Month, Range 3",4
"Operations Specialist -12, Range 2",4
"Information Technology Consultant -12, Range 3",4
"Nurse Practitioner, Range 1",4
"Student Services Professional II - 10 Month, Range 8",4
"Locksmith, Range 1",4
"Analyst/Programmer -12, Range 1",4
"Library Services Specialist IV, Range 1",4
"Physician, Range 8",4
"Police Dispatcher -12 Month, Range 1",4
"Farm Maintenance Mechanic, Range 1",4
"Painter, Range 1",5
"Administrative Support Assistant -10/12, Range 1",5
"Confidential Office Support -12 Month, Range 2",5
"Librarian - 12 Month, Range 3",5
"Administrative Support Assistant -10/12, Range 2",5
"Carpenter, Range 1",5
"Physician Assistant, Range 8",5
"Lecturer - 12 Month, Range 3",5
"Athletic Trainer II - 12 Month, Range 1",5
"Department Chair - 12 Month, Range 4",5
"Electrician, Range 1",5
"Administrative Support Coordinator -11/12, Range 2",5
"Post-Doctoral Counselor Intern/Fellow, Range 0",5
"Plumber, Range 1",5
"Equipment Technician III, Electro-Mechanical, Range 1",5
"Student Services Professional IV, Range 1",6
"Information Technology Consultant -12, Range 1",6
"Librarian - 12 Month, Range 4",6
"Public Affairs/Communication Specialist -12 Month, Range 1",7
"Hourly Intrprtr/Realtime Captioner/Computer Aided Transcribe, Range 0",7
"Parking Officer -12 Month, Range 1",7
"Accounting Technician III, Range 1",7
"Administrative Support Assistant -11/12, Range 2",7
"Instructional Support Technician III, Range 1",7
"Instructional Faculty, Special Programs -For Credit, Range 2",8
"Building Service Engineer, Range 1",8
"Coaching Specialist - 12 Month, Range 0",9
"Equipment Systems Specialist -12, Range 2",9
"Instructional Faculty, Extension Non-Credit, Range 2",9
"Coach - 12 Month, Range 0",9
"Per Diem Non-Exempt - Healthcare, Range 0",9
"Administrative Support Assistant -12 Month, Range 1",9
"Facilities Worker II, Range 1",9
"Warehouse Worker, Range 1",10
"Administrative Analyst/Specialist -12 Month, Range 3",10
"Helper/Aid, Range 0",10
"Instructional Support Assistant II, Range 1",11
"Special Consultant, Range 0",11
"Equipment Technician II, Electro-Mechanical, Range 1",11
"Library Services Specialist III, Range 1",12
"Student Services Professional, Academic-Related I-Ay, Range 0",12
"Accounting Technician II, Range 1",13
"Police Officer, Range 0",13
"Confidential Administrative Support -12 Month, Range 2",14
"Instructional Support Technician II, Range 1",14
"Department Chair - Academic Year, Range 5",15
"Lead Custodian, Range 1",16
"Operating Systems Analyst -12, Range 2",18
"Network Analyst -12, Range 2",18
"Student - Nonresident Alien Tax Status, Range 0",19
"Administrator IV, Range 1",19
"Groundsworker, Range 1",22
"Public Affairs/Communication Specialist -12 Month, Range 2",26
"Department Chair - 12 Month, Range 5",28
"Instructional Student Assistant - Off Campus, Range 0",32
"Student Services Professional III, Range 1",34
"Analyst/Programmer -12, Range 2",37
"Laborer, Range 1",42
"Performing Arts Technician -12 Month, Range 1",44
"Bridge Student Assistant, Range 0",44
"Administrative Support Assistant -12 Month, Range 2",49
"Lecturer - Academic Year, Range 5",49
"Coaching Assistant - 12 Month, Range 0",53
"Information Technology Consultant -12, Range 2",54
"Administrative Analyst/Specialist -12 Month, Range 1",65
"Administrator I, Range 1",72
"Graduate Assistant, Range 3",77
"Administrator III, Range 1",80
"Administrative Analyst/Specialist -12 Month, Range 2",81
"Student Services Professional II, Range 1",88
"Lecturer - Academic Year, Range 4",92
"Administrative Support Coordinator -12 Month, Range 1",93
"Administrative Support Coordinator -12 Month, Range 2",97
"Administrator II, Range 1",104
"Teaching Associate - Academic Year, Range 1",161
"Instructional Faculty - Academic Year, Range 3",180
"Instructional Faculty - Academic Year, Range 4",189
"Custodian, Range 1",279
"Lecturer - Academic Year, Range 2",282
"Instructional Faculty - Academic Year, Range 5",320
"Lecturer - Academic Year, Range 3",359
"Instructional Student Assistant, Range 0",1223
"Student Assistant, Range 0",3370
