,Position,Wages,Count
278,Personnel Anl Prn,104040,1
288,Phys Ther 3 Supv Nex,104059,1
293,Planner Prn,104434,1
88,Bldg Maint Worker Ld,104494,3
159,Dev Tchn 4,105316,2
403,Storekeeper Ast,105508,10
58,Asst Librarian-Career Status,105898,2
368,Sra 2 Supv,108466,2
158,Dev Tchn 3,109114,3
404,Storekeeper Ld,109348,2
263,Museum Sci,109440,3
256,Mech Shop Supt,109602,2
275,Optometrist Supv,114448,1
214,Hosp Blank Ast 3,115333,2
322,Publ Info Repr,115938,3
178,Ehs Tchn Sr,116252,7
342,Registrar,116615,1
98,Campus Ombudsperson,117788,1
411,Supv Teacher Ed-Ay-Continuing,119425,3
9,Accountant 3,119453,4
68,Asst Univ Librarian,120225,1
188,Exec Ast,120883,1
253,Mail Processor,121484,3
90,Budget Anl Prn 2,122884,2
145,Dental Hygienist,123236,3
254,Mail Processor Sr,123432,3
281,Pharmacy Tchn 1,123747,3
372,Sra 4 Supv,125082,2
393,Stdt Aid Outside Agency,126184,80
70,Ath Trainer Supv,128615,2
252,Lrng Skls Cnslr Prn,129007,2
103,Clin Lab Sci,129564,2
271,Nurse Practitioner 3,130077,1
340,Recreation Supv Sr,130233,4
81,Baker Sr,130592,4
127,Continuing Educator III,132512,1
114,Computer Network Tchno 2 Supv,133127,2
401,Stdt Volunteer,133926,296
38,Artist Prn,134540,3
280,Pharmacist Sr Mgr,139964,1
272,Nurse Practitioner Mgr 3,140622,1
297,Police Chf Ast Or Captain,146004,1
294,Planner Sr,147234,2
420,Technology Transfer Ofcr 2,149308,1
329,Radlg Tchno Sr,150183,2
421,Theater Prod Supv,153922,4
443,Zone Ld,155049,2
419,Technology Transfer Ofcr 1,155196,2
95,Buyer 2,156022,3
370,Sra 3 Supv,156917,3
132,Counseling Psych Intern Ex,157873,8
146,Dentist Sr,159608,1
20,Admin Anl Prn 1,159789,2
436,Vis Prof,162700,12
284,Phys Plt Supt,163125,2
310,Producer Dir Prn,166153,3
66,Asst Res-Fy-B/E/E,168980,3
410,Supv Teacher Ed-Ay,169734,5
167,Editor Sr,170902,6
143,Dean-Extended Learning,173292,1
296,Police Chf,175203,1
19,Admin Anl Ast,177079,4
153,Dev Engr Supv,179024,2
257,Mech Shop Supt Sr,179526,2
110,Coach Spec,180623,4
351,Rsdnc Halls Mgr Ast,183834,3
80,Baker Prn,183930,4
187,Engr Sr,185233,2
431,Vis Assoc Prof,185400,5
218,Irrigation Spec,185835,4
192,Faculty Advisor,188112,5
106,Clin Nurse 2,188968,4
186,Engr Ast,194363,3
311,Producer Dir Sr,195094,4
353,Rsdt Ast,195948,118
428,VC Stdt Affairs,196480,2
345,Remd Tut II-Non Gship,199877,33
258,Mgn Producer Dir,201435,4
290,Physcn Ast,201778,3
228,Lab Mechn Sr,201979,4
202,Food Svc Worker Ld,203372,5
383,Stdt Activities Appt Official,204279,155
198,Food Svc Mgr Ast Supv,206679,4
79,Baker,209898,5
331,Reader-Non Gship,211547,115
330,Reader-Gship,215868,49
76,Auto Tchn,218291,5
69,Ath Trainer,219330,7
181,Electr Tchn Sr,223278,5
40,Asc Physcn,225012,1
13,Act Prof-Ay,227575,2
287,Phys Ther 2 Nex,233035,4
197,Food Svc Mgr Ast,235946,6
204,Grounds Equip Opr,236164,6
189,Exec Ast Or Spc Ast,238430,2
126,Continuing Educator II,240191,3
182,Electr Tchn Supv,242414,3
179,Electr Tchn,243394,5
77,Auto Tchn Ld,244731,4
56,Assoc Vice Chanc,246042,1
210,Gsr-Partial Fee Rem,248140,26
298,Police Lieutenant Msp,250290,2
245,Library Ast 4 Supv,251711,6
246,Library Ast 5,253713,5
184,Engr Asc,257343,3
26,Anl 1 Supv,258067,6
196,Food Svc Mgr,260955,7
425,Univ Librarian,262434,1
45,Assoc Librarian-Potntl Career,267849,4
82,Blank Ast 1,279258,18
85,Blank Ast 3 Supv,287024,6
426,VC Bus Admst,289193,1
53,Assoc Res-Fy-B/E/E,290263,3
222,Lab Ast 2,292005,19
94,Bus Sys Anl 3,292748,5
206,Groundskeeper Ld,294493,7
260,Mgr Asc,295886,3
385,Stdt Affairs Ofcr 1 Pd,299463,88
373,Staff Pharmacist 1 Nex,301804,6
427,VC Rsch,321648,1
387,Stdt Affairs Ofcr 2 Supv,323141,7
350,Rsdnc Halls Mgr,325415,5
92,Bus Sys Anl 1 Nex,329434,6
10,Accountant 3 Supv,329558,5
279,Personnel Anl Prn 2,332087,4
285,Phys Plt Supt Ast,332627,5
190,Exec VC And Provost,332916,1
325,Publ Safety Dispatcher,334433,7
321,Publ Events Mgr Sr,335401,7
48,Assoc Proj Scientist-Fy,338163,5
174,Ehs Spec Prn,342323,3
335,Recall Non-Faculty Acad,345716,9
248,Locksmith,349262,7
318,Publ Events Mgr,354460,8
277,Parking Repr Sr,359344,9
223,Lab Ast 3,362873,31
163,Director,370572,2
442,Writer Sr,378136,10
14,Act/Interim Dean,385000,2
5,Academic Coord III-Ay,391495,3
265,Museum Sci Prn,392395,6
237,Lect-Ay-1/9-Continuing,396523,10
55,Assoc Univ Librarian,398636,3
343,Remd Tut I-Non Gship,398864,164
244,Library Ast 4,402934,9
323,Publ Info Repr Sr,406029,8
417,Teachg Asst-Non Gship,406953,27
21,Admin Anl Prn 2,407878,5
231,Laborer Sr Ld,413423,6
100,Chan,414478,1
398,Stdt Health Physcn 5,427240,10
232,Lect In Summer Session,441514,45
169,Ehs Spec 1 Ex,445184,8
99,Carpenter,464906,11
270,Nurse Practitioner 2,465845,6
405,Storekeeper Sr,466860,11
6,Academic Coord III-Fy,466996,6
349,Res-Fy-B/E/E,467396,4
242,Library Ast 2,475857,19
371,Sra 4,480030,11
366,Sra 1,482324,21
7,Accountant 1,485332,12
336,Recall Teaching,490194,23
172,Ehs Spec 3,492514,6
180,Electr Tchn Prn,494138,7
43,Assoc In__-Ay- 1/9 -Non-Gship,498105,44
360,Skld Trades Mech,498158,9
44,Assoc Librarian -Career Status,498534,8
315,Proj Scientist-Fy-B/E/E,513455,7
149,Dev Engr Ast,517628,9
200,Food Svc Supv Prn,527301,14
381,Stdt 4,544517,132
3,Academic Coord II-Ay,547146,9
355,Rsdt Dir 2,553161,17
233,Lect Psoe-Ay-100%,554737,7
170,Ehs Spec 2 Ex,569605,8
415,Teacher-Unex-Contract Yr,571283,106
93,Bus Sys Anl 2 Ex,581730,8
389,Stdt Affairs Ofcr 3 Supv,597870,12
131,Cook Sr,601866,16
354,Rsdt Dir 1,607259,21
49,Assoc Proj Scientist-Fy-B/E/E,611179,9
2,Academic Coord I-Fy,619824,16
379,Stdt 3,620693,255
221,Lab Ast 1,622810,63
396,Stdt Health Physcn 4,624453,4
195,Food Svc Crd,628437,8
183,Electrn,629186,12
39,Artist Sr,676702,22
112,Computer Network Tchno 1,684394,19
430,Vice Chan Ast,686843,4
116,Computer Network Tchno 3 Supv,691071,9
230,Laborer Ld,702501,14
212,Hosp Blank Ast 1,705396,20
199,Food Svc Mgr Sr,709333,13
295,Plumber,724001,11
286,Phys Plt Supt Sr,736740,8
154,Dev Ofcr 1,751451,12
251,Lrng Skls Cnslr,755033,20
203,Food Svc Worker Sr,767112,25
209,Gsr-No Rem,769906,55
52,Assoc Res-Fy,788741,11
64,Asst Proj Scientist-Fy-B/E/E,798613,15
429,Vice Chan Asc,811930,5
42,Assoc In __ -Ay-1/9-Gship,816766,53
130,Cook Prn,828336,19
123,Const Insp Sr,859556,12
147,Dev Engr Asc,874321,15
101,Child Dev Ctr Teacher 2,887102,26
433,Vis Asst Prof,907000,24
119,Computer Network Tchno 6,933804,9
314,Proj Scientist-Fy,983062,14
362,Spec,985341,10
65,Asst Res-Fy,1022751,18
300,Police Sergeant,1057321,7
369,Sra 3,1083050,28
365,Sr Lect-Ay-Continuing,1094044,10
17,Adm Crd Ofcr,1114383,14
28,Anl 2 Supv,1156605,21
334,Recall Faculty,1161104,26
215,Hvac Mech,1195277,18
205,Groundskeeper,1223367,31
276,Painter,1251440,27
367,Sra 2,1252771,47
219,Jr Specialist,1266219,82
156,Dev Ofcr 3,1285230,11
392,Stdt Affairs Ofcr 5 Supv Ex,1286249,16
338,Recreation Prg Instr,1288240,306
234,Lect Soe-Ay,1305298,12
229,Laborer,1321910,29
363,Specialist,1386081,20
243,Library Ast 3,1387218,39
63,Asst Proj Scientist-Fy,1432572,36
67,Asst Specialist,1439515,65
4,Academic Coord II-Fy,1489179,23
390,Stdt Affairs Ofcr 4,1508319,23
216,Intercol Ath Coach Ast Ex,1514917,41
346,Res-Ay,1541238,5
89,Bldg Maint Worker Sr,1559209,32
150,Dev Engr Prn,1573670,14
162,Dir Ast,1630571,17
142,Dean Ast,1631216,16
133,Counseling Psychologist 2 Msp,1754078,28
217,Intercol Ath Head Coach Ex,1771780,16
364,Sr Lect Soe-Ay,1802134,16
141,Dean,1820754,7
240,Librarian-Career Status,1861773,20
151,Dev Engr Sr,2011652,25
236,Lect-Ay-1/9,2015302,151
391,Stdt Affairs Ofcr 4 Supv,2022938,34
128,Cook,2108578,69
62,Asst Prof-Ay-B/E/E,2314338,18
34,Anl 5 Supv,2315752,29
348,Res-Fy,2441294,25
155,Dev Ofcr 2,2558135,30
32,Anl 4 Supv,2568278,39
384,Stdt Affairs Ofcr 1,2599537,71
33,Anl 5,2664970,40
377,Stdt 2,2714601,1749
299,Police Ofcr,2737207,33
31,Anl 4,2832161,62
30,Anl 3 Supv,3075856,54
54,Assoc Specialist,3267021,89
47,Assoc Prof-Ay-B/E/E,3290595,24
161,Dir Asc,3295912,28
235,Lect-Ay,3324230,89
113,Computer Network Tchno 2,3945306,79
83,Blank Ast 2,3986620,151
388,Stdt Affairs Ofcr 3 Ex,4070773,84
29,Anl 3,4082634,75
118,Computer Network Tchno 5,4332919,40
386,Stdt Affairs Ofcr 2,4626067,113
117,Computer Network Tchno 4,5054522,56
25,Anl 1,5507180,134
259,Mgr,5682725,54
27,Anl 2,6355243,135
238,Lect-Ay-Continuing,6665629,99
138,Custodian Sr,6927973,177
61,Asst Prof-Ay,6933328,84
160,Dir,8510683,67
115,Computer Network Tchno 3,8853827,125
375,Stdt 1,12455876,4209
302,Postdoc-Employee,13002377,361
84,Blank Ast 3,14042109,386
46,Assoc Prof-Ay,14214027,143
211,Gsr-Tuit & Fee Rem,16112847,741
416,Teachg Asst-Gship,19409471,1357
313,Prof-Ay-B/E/E,25265663,115
312,Prof-Ay,68489724,424
