Position,Wages,Count
Landscape Architect Sr,74212,1
Med Ctr Food Svc Mgr 1,74226,1
Roofer Ld,74313,1
Asst Adj Prof-Ay,75069,1
Landscape Architect Asc,75533,1
Comm Supv 2,75678,1
Glazier,75878,1
Enterprise Risk Mgt Anl 4,76019,1
Radlg Tchno Sr Pd,76105,2
Field Rsch Supv 2,76126,1
Av It Spec 4,77274,1
Survey Worker,77406,11
Publ Crd Prn,77968,1
Patient Rcds Abstractor 3 Supv,77993,1
Transit Maint Mgr,78392,1
Steamfitter Worker Ld,78453,1
Optometrist Ex,78580,1
Accelerator Opr Prn,78604,1
Statistician Ast,79196,2
Radlg Tchno Sr Supv,79519,1
Auto Attendant,79564,2
Home Health Nurse Pd,79701,4
Sys Admst Supv 2 Anr,79799,1
Artist Sr Supv,79851,1
Parking Ops Enforcement Mgr 1,79855,1
Translator Pd,79923,9
Events Supv 2,79930,1
Architectural Asc Prn Supv,79966,1
Farm Maint Worker,80495,2
Ventilation Mech Ld,81005,1
Orthoptist,81200,1
Clin Lic Social Worker Pd,81408,6
Fac Project Mgt Spec 3,81867,1
Admin Ofcr 4,82345,1
Food Svc Worker Sr Pd,82596,7
IT Security Anl 3,83776,1
Data Sys Anl 1,84425,2
Phys Ther 4,84580,1
Producer Dir Prn,84969,1
Asst Librarian-Potntl Career,84999,2
Acad HR Mgr 1,86008,1
Applications Prg Supv 2 Anr,86106,1
Media Comm Mgr 2,86625,1
Electrocardiograph Tchn Prn,86641,1
Assoc Res-Ay-B/E/E,87364,1
Electrn Appr,87437,2
Planner Sr,87505,1
Buyer 5,88631,1
Organizational Cnslt 4,89091,1
Lab Mechn Helper,89624,2
Mgn Producer Dir,89741,1
Instructional Designer 4,89852,1
Agriculture Mgr 1,90645,1
Equip Opr,91171,2
Hvac Mech Ld,91402,1
EEO Repr 4,91773,1
Intern-Vet Med/Non Rep,92288,7
Ehs Spec 1 Supv,92449,1
Child Life Mgr,92803,1
Reg Dental Ast,92957,2
Asst Adj Prof-Ay-B/E/E,93815,3
Specialist Aes,93993,1
Baker,94303,7
Parking Supv Sr,94601,2
Acad HR Anl 2,94760,2
Ombudsperson 3,94883,1
Comm Mgr 1 Anr,95035,1
Asst Agron Aes-Ay,95912,1
Auditor 5,95973,1
Mail Svc Supv,96183,3
Financial Svc Anl 1,96350,2
Academic Administrator IV,96420,1
Skld Crafts And Trades Mgr 1,96613,1
Publ Safety Dispatcher Supv,96624,1
Organizational Cnslt 3,97550,2
Contracts And Grants Supv 2,97862,1
Mail Processor Prn,98021,2
Academic Administrator V,98758,1
Applications Progm Mgr 1,98873,1
Geographic Info Sys Progr 4,99149,1
Digital Comm Spec 4,99175,2
Bus Sys Anl 1 Nex,99175,2
Enterprise Risk Mgt Anl 1,99428,2
Prg Repr 3 Supv,99642,2
Refrigeration Mech Ld,100105,1
Publ Events Mgr Sr Supv,100133,2
Stdt Acad Spec 4,100215,2
Med Ast Pd,100287,9
Dietitian Pd,100300,6
Asst Agron Aes-B/E/E,100632,1
Storekeeper Sr Supv,101020,2
Asst Adj Prof-Fy-B/E/E,102075,1
Advocate 3,102142,2
Alarm Electrn Ld,102472,1
Med Rcds Adm Prn Supv,103472,1
Med Ctr Storekeeper Sr,103953,2
Hosp Unit Svc Crd Pd,104163,5
Info Sys Mgr 1,104916,1
Lab Helper,105272,12
Labor Rel Mgr 1,105477,1
Qa Release Mgt Anl 4,105562,1
Buyer 1 Supv,105929,2
Enterprise Risk Mgr 1,106549,1
Stdt 3 Non Uc,107027,30
Dev Tchn 4,107028,2
Applications Prg Supv 2,107841,1
Geographic Info Sys Progr 2,109349,2
Cyto Tchno Supv,109644,1
Bldg Maint Supv Sr,109801,2
Marketing Spec 3,110512,2
Non-Phys Clin Train,110660,3
EEG Tchno Prn,111018,1
Producer Dir,111774,2
Auditor 2 Ex,112480,2
Tut-Non Stdnt,112486,4
External Rel Supv 2,112698,1
Anesthesia Tchn,113117,2
Audiologist Nex,113582,2
Lab Mechn Sr,113988,2
Sr Lect-Fy-Continuing,114411,1
Architect Sr,114465,1
Remd Tut II-Gship,114777,41
Ast To Blank 2 Supv,115326,2
Drafting Tchn Prn,115772,2
Audiologist Sr Supv,116137,1
Asst Res-Fy-B/E/E,116239,2
Bus Sys Anl Supv 2,116288,1
Faculty Recruitment Allow,117600,2
Exec Ast Or Spc Ast,118944,1
Prosthetist Orthotist Sr,119519,1
Med Ast 2 Pd,119909,7
Hosp Lab Tchn 4,119922,1
Enterprise Risk Mgt Anl 3,120394,2
Clin Spec Supv Nex,120792,1
Organizational Dev Mgr 1,120793,1
Med Ofc Svc Crd 2 Pd,120891,8
Stdt Acad Mgr 1,121276,1
Ehs Tchn Prn,122010,3
Financial Svc Supv 1,122209,2
Dev Tchn 2,123007,4
Museum Sci Ast,123667,6
Resp Ther 4 Supv,123686,1
Financial Svc Mgr 2,123849,1
Qa Release Mgt Anl 2,124868,2
Nurse Practitioner 1,126523,1
Ehs Spec 5,126883,2
Mental Health Ther 2,127093,2
Contracts And Grants Mgr 2,127442,1
Stdt Health Physcn 5 Pd,127598,3
Theater Prod Supv,127783,3
Vis Assoc Res,128181,7
Stores Supv,128219,2
Ultrasound Tchno Sr Pd,128290,6
Med Ofc Svc Crd 3 Supv,128407,3
Angiography Tchno Ld,128483,1
Exec Advisor 4,128644,1
Project Policy Anl 1,128673,3
Tchl Project Mgt Profl 2,128866,2
Mail Processor,129024,5
Lect-Ay-1/9-Continuing,129355,4
Elevator Mech Ld,129417,1
Ehs Tchn Sr,129430,3
Financial Anl 4,129725,2
Auto Tchn Supv,129782,2
Ehs Mgr 3,130000,1
Marketing Mgr 2,130146,1
Phys Ther 5,130184,1
Vis Proj Scientist,130206,5
Dev Tchn 5,130704,2
Fire Spec 1 56 HRs Non Hzmt,131023,3
Operating Room Ast 2,131152,2
Veterinarian Lam Ast,131399,5
Ehs Spec 2 Nex,131626,2
Resp Ther 5,131681,1
Television Engr,131921,2
Storekeeper Sr Ld,132150,2
Applications Progr 1,132520,4
Supv Teacher Ed-Ay,132576,10
Collections Repr,132730,3
Auto Equip Opr Prn Supv,133762,2
Clin Lic Social Worker Chf Asc,134655,1
Educ Fac Planner,134858,2
Photographer Prn,134921,2
Locksmith Ld,134994,2
Electr Tchn Sr,135158,2
Employment Mgr 1,136821,1
Library Ast 5,137101,3
Architectural Asc Ex,137582,2
Pharmaceutical Svc Chf Asc,138545,1
Occupational Ther 4 Supv,138619,2
Cabinet Maker,138793,2
Med Ctr Envir Svc Mgr 1,138799,3
Phys Ther 4 Supv,139027,1
Agron Aes-Sft-Vm,139071,1
Occupational Ther Cert Ast 1,139099,3
Acad HR Anl 3,139424,2
Supv Pe-Ay,139589,1
Training Dev Mgr 2,139955,1
Deputy Dir,140489,2
Tchn Sr Supv,140871,3
Lrng Skls Cnslr Prn Supv,140889,3
Cmptl And Data Sci Rsch Spec 3,141251,2
Speech Pathologist Nex,141294,2
Bldg Maint Worker,141572,6
Recreation Prg Instr,142955,72
Farm Mach Mech,143359,3
Assoc Agron Aes-Sft-Vm,143752,1
Financial Svc Anl 2,144263,3
Television Tchn Sr,144719,3
Organizational Cnslt 2,146397,3
Food Svc Worker Prn,146850,7
Locksmith,147489,3
Bioinformatics Progr 3,148156,2
External Rel Mgr 1,149197,2
Fundraiser 4,149287,2
Bus Tchl Supp Supv 1,150587,2
Comm Spec 5,150870,2
Clin Lic Social Worker Chf,151483,1
Nuc Med Tchno Sr Supv,152352,1
Bus Tchl Supp Supv 2,152567,2
Project Policy Anl 4,152620,3
Academic Coord II-Ay,153285,2
Auto Tchn Ld,153947,2
Hosp Med Transcriber,154762,3
HR Anl 4 Supv,154785,2
Spectroscopist,155332,3
Bldg Maint Supv,155999,3
Stdt Health Physcn 3,156472,1
Asst Prof In Res-Sft-Vm,156609,1
Stdt Activities Appt Official,157142,100
Law Librarian,157210,1
Rad Ther Tchno Chf,157808,1
Events Spec 3,157831,3
Hosp Ast 2 Pd,158272,11
Dietitian Chf,158782,1
Counseling Psychology Mgr 1,159176,2
Med Ctr Food Svc Worker Sr,160746,4
Scene Tchn Prn,160837,3
Financial Svc Mgr 1,163038,2
Speech Pathologist Pd,163826,5
Sr Lect Soe-Hcomp,163973,1
Cmty Educ Supv 1,164136,3
Tree Trimmer,164347,3
Lab Ast 4 Supv,164746,4
Plumber Ld,164956,2
Genetic Cnslr 2 Nex,165052,3
Hvy Offroad Equip Mech,165780,3
Dentist Ast,166024,2
Stdt Health Physcn 4 Pd,167769,1
Vis Asst Proj Scientist,168038,7
Continuing Appt-Temp Aug,168158,3
Rad Equip Spec Supv,168444,1
Reprographics Tchn Sr,168521,4
HR Mgr 2,169568,1
Psychologist 1,169587,3
Police Chf Mgr 3,170242,1
Pulmonary Tchn 2,170367,2
Case Mgr Pd,170400,6
Child Life Spec 2 Nex,170787,4
Unclassified,171133,34
Accountant 5,171158,2
Audit Profl 5,171159,1
City And Campus Fire Chf Mgr 3,171870,1
Assoc Res-Fy-B/E/E,172065,3
Child Dev Demo Lect-Continuing,172917,3
External Rel Mgr 3,173095,1
Patient Escort Sr,173701,4
Machinist,174853,4
Admin Mgr 3,175091,2
External Rel Spec 2,175130,5
Patient Care Dialysis Tchn 1,176788,3
Food Svc Mgr Ast Supv,177055,4
Reprographics Tchn Prn,178169,4
Phys Ther 3,179002,3
Ehs Supv 2,180105,2
Academic Appt,180425,15
Pulmonary Tchn 4,181287,2
Act/Interim Director,182299,1
Resp Ther 3,182586,2
Custodian Ld,182642,4
Med Ctr Security Ofcr Sr Supv,183350,3
Electr Tchn,183498,4
Phys Plt Mech 2,183879,4
Digital Comm Mgr 1,184677,2
Progr 5 Supv,186611,2
Electr Tchn Sr Supv,186927,3
Project Policy Anl 2,187637,4
Counseling Psychologist 1 Nex,188164,3
Info Sys Anl 4,189695,2
Delivery Worker,191021,13
Academic Coord I-Ay,191253,3
Compensation Mgr 1,191946,2
Lab Mechn Prn,192593,3
Asst Adj Prof-Sft-Vm,192973,2
Cook Pd,193270,8
Electrn Ld,193602,2
Stdt 2 Anr,194053,50
Asst Agron Aes-Ay-B/E/E,194462,2
Med Ofc Svc Crd 1,195284,5
Procurement Supv 2,196767,2
Grounds Equip Opr,197323,4
Dosimetry Chf,198406,1
Publ Events Mgr,198879,11
Sys Admst Supv 1,199451,2
Database Adm 4,199650,3
Anl 10,199720,2
Home Health Aide,200395,5
Prosthetist Orthotist,200880,2
Television Tchn,201164,4
Ast To Dean Dir Chair 2,201491,2
Comm Spec 3,201949,6
Instructional Designer 3,203141,3
Auto Tchn,203399,3
Med Ctr Food Svc Mgr 3,203547,2
Radlg Equip Spec,203839,2
Writer Editor 4,203958,3
Bioinformatics Progr 5,206088,2
Comm Mgr 4,206640,1
Nurse Mgr,207282,2
Dev Tchn 3,207527,4
Water And Wastewater Opr Appr,207616,4
Sr Lect Soe-Fy,207838,1
Digital Comm Spec 3,207842,3
Stdt Aid Outside Agency,208108,161
Marketing Mgr 1,208773,2
Bus Sys Anl 4,208808,2
Publ Crd,209360,5
Proj Scientist-Fy-B/E/E,210158,2
Custodial Mgr 1,210982,3
Med Ctr Envir Svc Worker 2,211026,4
User Experience Designer 3,212374,3
Info Sys Anl 5,212702,2
Non Evaluated Pss Nex,213243,24
Audit Mgr 3,213500,1
Vis Res,213621,12
Histo Tchno Supv Nex,213789,2
Exec Advisor 5,214910,1
Med Ast 2 Supv,214945,5
Med Ctr Food Svc Worker Prn Pd,215015,10
Nursery Tchn Sr,215050,5
Roofer,215244,3
Progr 4 Supv,216831,4
Data Sys Anl 2,218850,4
Rsch Adm 3,219107,3
Agriculture Supv 1,221249,4
HR Anl 7 Supv,221896,2
Ehs Mgr 1,222042,2
Ehs Spec 2 Supv,222558,3
Spc Stdt Bya,222848,212
Recreation Supv,223656,6
Architect Sr Supv,224217,2
Farm Maint Worker Sr,225056,4
Design Const Project Mgr 2,225862,3
Surgical Tchn,226115,4
Publ Info Repr Sr,227022,3
Clin Rsch Crd Sr Supv,227118,3
IT Architect 3,228669,3
Ehs Spec Ast,229547,4
Biomed Equip Supv,230172,2
Clin Spec Supv Ex,230340,2
Info Sys Supv 1,230627,3
Scene Tchn Sr,231395,8
Ehs Spec 3 Supv,232424,3
Editor Prn,232858,5
Career Svc Spec 4,232993,3
Storekeeper Ld,233140,3
Counseling Psychologist 4,233962,2
HR Generalist 2,234202,5
Speech Pathologist Sr Supv Ex,234817,2
Fac Mgr 1,235134,2
Pharmaceutical Svc Chf,236708,1
Tchn Prn,236882,5
Med Ctr Food Svc Mgr 2,237203,3
Exec Advisor Mgr 1,237752,2
Physcn Mgr 1,238280,1
Auto Equip Opr,238311,7
Buyer 2,239009,5
Adj Prof-Fy-B/E/E,240637,2
HR Mgr 4,242370,1
External Rel Spec 4,242481,4
Hvy Equip Operating Engr,244374,4
Med Interpreter Pd,245015,16
Nursery Tchn,246050,7
Rad Ther Tchno Pd,246219,5
Med Ctr Custodian Sr Pd,246516,17
Univ Librarian,246720,1
Fire Chf Ast,247194,2
Asst Adj Prof-Fy,249512,4
Accountant 4 Supv,249663,3
Lab Ast 4,249870,6
Chf Campus Counsel,251320,1
Ath Profl 3,251375,5
Anesthesia Nurse Prn,251560,1
Exec Advisor Mgr 3,251635,1
Optometrist Prn,252143,2
Marketing Spec 5,252337,1
Security Guard,252586,7
Vis Prof,254193,8
Adj Prof-Sft-Vm,254297,2
Patient Rcds Abstractor 4 Supv,255368,3
Comm Mgr 2,255730,2
Scene Tchn,258805,26
Asst Prof-Fy-B/E/E,260144,2
Hosp Rad Physicist Supv,260593,1
Lect Soe-Fy,261238,2
Admin Mgr 1,263240,2
Comm Mgr 1,263314,3
Insp Planner Est Sr Ex,264229,3
Hs Asst Clin Prof-Fy,265376,2
Project Policy Anl 5,266582,4
Adm Crd Ofcr Asc,266629,2
Radlg Tchno Chf Asc Ex,270263,2
Lab Mechn,271494,5
Publ Educ Supv 2,272430,6
VC Stdt Affairs,273318,1
Auto Tchn Ast,273414,5
Counseling Psychologist 3,274452,3
Reader-Non Gship,275760,117
Grounds Supv Ex,278189,4
Library Ast 5 Supv,278704,5
Mgn Counsel 3,278732,1
Occupational Ther 1 Nex,278803,4
Tchl Project Mgt Profl 4,280981,4
Hosp Ast 3 Pd,281649,25
Planning Spec 3,281654,3
Physcn Ast Sr Supv,281765,1
HR Anl 5 Supv,281811,3
Dosimetrist,283766,2
Med Ofc Svc Crd 4,286259,5
Clerk Sr Or Secr,287555,18
Assoc Res-Sft,287874,2
Perfusionist Prn Supv,288161,1
Deaf Translator Interpreter,288802,7
Computing Resc Mgr 2,291263,3
Tchl Project Mgr 2,291601,2
Access Supv,291791,5
Farm Seasonal Worker Pd,293234,26
Dosimetrist Sr,293617,2
Bioinformatics Progr 2,293856,6
Dean Univ Ext,294030,1
Irrigation Spec,294310,7
Tchn 4 Nex,295583,6
Clin Rsch Crd Ast,296646,9
Blank Ast 2 Supv,297475,6
Recall Teaching,299669,23
Progr 1,301142,11
Med Ctr Cook Sr,301180,6
Med Ctr Bldg Maint Worker Sr,303129,6
Publ Events Mgr Prn,303178,4
Ultrasound Tchno Prn,303216,3
Auditor 4,303258,4
Buyer 5 Supv,304254,4
Accountant 2 Ex,304831,5
Statistician Prn,307040,5
HR Anl 1,308557,7
Elevator Mech,309151,3
Buyer 4,310511,5
HR Anl 7,310844,3
Assoc Adj Prof-Fy,311229,3
Lrng Skills Cnslr Sr Ex,313943,9
Tchl Project Mgt Profl 3,315950,4
Tchn Ast,316733,15
External Rel Mgr 2,317539,4
Transplant Crd 1,318282,2
Lect Soe-Ay,318954,4
Social Worker 2,320750,5
Stores Supv Sr,321083,5
Ctrl Sterile Tchn Supv,321378,4
Dietitian Sr Supv,323084,3
Phlebotomist Cert Tchn 3,324630,4
Publ Events Mgr Sr,326455,6
Hosp Ast 1 Pd,326933,34
Med Ofc Svc Crd Ld 3,327424,7
Counsel 3,328708,2
Academic Administrator III,331623,3
Cmty Health Prg Repr Ast,331660,19
Hs Clin Prof-Fy,331943,2
Med Ctr Stores Worker,332424,7
Custodial Supv 2,334009,7
Architectural Asc Sr,336019,5
Ehs Spec Prn,336914,3
Assoc Res-Ay,337002,3
Fundraiser 3,337298,7
VC IT,340626,1
Library Ast 4 Supv,343813,7
Access Repr Sr,347451,7
Resp Ther 4,347872,3
Farm Laborer,349038,14
Optician,351479,8
Statistician,352109,10
Admin Ofcr 2,353483,10
Producer Dir Sr,354726,5
Polysomnography Tchno Sr,354807,4
Recreation Supv Sr,356431,12
Adj Prof-Fy,356740,6
Psychologist 2 Supv,357128,3
Sys Admst Supv 2,357924,4
Ath Trainer,357987,9
Ct Tchno Ld,360819,3
Asst Agron Aes,361765,4
Television Tchn Prn,364980,7
Lect-Fy-Continuing,365512,4
Ast To Dean Dir Chair 1,365762,5
Histo Tchno 2,366595,6
Museum Sci Prn,366774,6
Pgy I Pharmacy Resid/Non Rep,367435,16
Cement Mason Floorer,369058,6
Chf Nurse Ofcr,369827,1
Mri Tchno Ld,371118,4
Cyto Tchno Sr,374237,3
Audiologist Sr Ex,376141,4
VC Dev And Univ Rel,376503,1
Farm Mach Mech Sr,377634,5
Stdt Health Physcn 5,377704,3
Accountant 3,378436,5
Database Adm 5,379132,4
Radlg Equip Spec Sr,379399,4
Phlebotomist Cert Tchn Supv,383158,4
Med Ctr Envir Svc Supv 2,383211,12
Act Prof-Ay-Law,384356,3
Vis Asst Res,385361,14
Engr Sr,387434,4
VC Rsch,389013,1
Nurse Practitioner Pd,389239,7
Exec Vc And Provost,389772,1
EEG Tchno Sr,390886,4
Radlg Tchno Pd,392654,14
Data Sys Anl 3,393026,6
Stores Worker,398018,11
Pharmacist Sr Mgr,400723,2
Exec Ast 4,401112,6
Parking Ast,403486,14
Assoc Vice Provost,406968,2
Reg Resp Ther Pd,407271,11
Library Ast 4,407849,12
Voc Nurse Pd,409446,16
Phys Ther 2 Pd,410907,8
Computing Resc Mgr 1,413074,4
CIO Med Ctr,413365,1
CFO Health Sys And Campus,415125,1
Writer Editor 3,415288,10
Res-Ay-B/E/E,415870,2
Orthopedic Tchn Sr,417269,7
Prg Repr 1,419227,21
Marketing Spec 4,423871,5
Chan,425349,1
Admin Ofcr 3,426787,7
Child Life Spec 1 Nex,427247,10
Custodial Supv 1,429114,11
Clin Lab Sci Spec Sr,429749,3
Engr Prn,432799,3
Dev Engr Sr Supv,435790,5
Museum Sci Sr,437647,8
Qa Release Mgt Anl 3,439981,7
Genetic Cnslr 3 Ex,444970,5
Anl 10 Supv,446329,3
Tut-Non Gship,447074,296
External Rel Spec 3,447891,11
Vis Assoc Prof-Hcomp,448155,6
Engr Sr Supv,448880,4
Architect Prn,449141,3
Home Health Nurse 4,449446,4
Stdt Acad Spec 3,449527,9
Design Const Project Mgr 6,450657,4
Ehs Mgr 2,452721,4
Storekeeper,455307,12
Info Sys Anl 2,457021,9
Project Policy Anl 3,459408,14
Pharmacy Tchn Supv,462166,6
Counsel 4,463209,2
HR Anl 6 Supv,465203,5
HR Anl 8 Supv,466116,4
Med Ctr Storekeeper Ld,467205,8
Academic Administrator VI,470473,5
Police Lieutenant Msp,470480,4
Bioinformatics Progr 4,472067,6
Buyer 3,475714,7
Assoc Prof-Fy-B/E/E,476723,4
Clin Lab Sci Spec Supv Sr Ex,477072,4
Library Ast 2,478077,15
Agricultural Tchn,478475,22
Dietetic Ast,479709,12
Prof-Ay-1/9-B/E/E,479996,1
Museum Sci,482789,16
Laborer,490147,18
Resp Ther 3 Supv,491949,4
Dev Engr Asc Supv,492047,6
Progr 6 Supv,492950,5
Agriculture Supt Prn,493998,8
