Position,Count
"Light Automotive Equipment Operator, Range 1",127230.56
"Analyst/Programmer -12, Range 1",127523.45
"Supervising Plumber, Range 1",131307.09
"Supervising Electrician, Range 1",132818.99
"Parking Officer -12 Month, Range 1",137166.82
"Nurse Practitioner, Range 1",138260.35
"Grant-Related/Specially Funded Instructional Faculty - 12Mo, Range 0",145387.0
"Lecturer - 12 Month, Range 5",147395.46
"Student Services Professional, Academic-Related II - 12 Mont, Range 0",152950.99
"Lead Carpenter, Range 1",158762.97
"Police Dispatcher -12 Month, Range 1",164844.97
"Instructional Faculty, Special Programs -For Credit, Range 2",171132.44
"Nurse Practitioner, Range 6",171370.78
"Lecturer - 12 Month, Range 2",173249.16
"Information Technology Consultant -11/12, Range 2",176605.24
"Student Services Professional, Academic-Related Ii-Ay, Range 0",185428.2
"Facilities Maintenance Mechanic, Range 1",190669.54
"Performing Arts Technician -12 Month, Range 1",193181.89
"Analyst/Programmer -12, Range 3",195249.68
"Operations Specialist -12, Range 2",195406.72
"Confidential Office Support -12 Month, Range 2",196319.91
"Athletic Trainer II - 12 Month, Range 1",198857.87
"Equipment Technician III, Specialized Equipment, Range 1",200798.98
"Administrative Support Coordinator -11/12, Range 2",202002.32
"Grant-Related/Specially Funded Instructional Faculty - AY, Range 0",207251.48
"Librarian - 12 Month, Range 5",208340.98
"Lead Groundsworker, Range 1",209270.22
"Farm Maintenance Mechanic, Range 1",214961.67
"Sergeant, Range 0",224663.06
"Administrative Support Assistant -11/12, Range 2",225110.01
"Library Services Specialist IV, Range 1",230115.93
"Supervising Building Service Engineer, Range 1",230350.72
"Department Chair - Academic Year, Range 4",242674.28
"Public Affairs/Communication Specialist -12 Month, Range 1",244266.67
"Graduate Assistant, Range 3",248738.33
"Instructional Faculty - 12 Month, Range 5",250588.36
"Performing Arts Technician -12 Month, Range 3",253381.77
"Accountant II, Range 1",257997.76
"Accounting Technician III, Range 1",258830.3
"Lead Building Service Engineer, Range 1",259523.11
"Information Technology Consultant -12, Range 1",262838.92
"Lecturer - 12 Month, Range 3",269942.92
"Electrician, Range 1",279065.9
"Carpenter, Range 1",283003.22
"Painter, Range 1",288505.96
"Laborer, Range 1",293166.02
"Librarian - 12 Month, Range 3",295388.51
"Librarian - 12 Month, Range 4",318333.24
"Plumber, Range 1",330772.94
"Physician Assistant, Range 8",332946.67
"Instructional Support Technician III, Range 1",343889.77
"Accounting Technician II, Range 1",347196.59
"Equipment Technician III, Electro-Mechanical, Range 1",347311.75
"Warehouse Worker, Range 1",348979.4
"Student Services Professional IV, Range 1",365087.75
"Information Technology Consultant -12, Range 3",369314.2
"President, Range 0",380058.0
"Student Services Professional, Academic-Related I-Ay, Range 0",381037.7
"Administrator III - Academic Year, Range 0",404849.18
"Equipment Systems Specialist -12, Range 2",410371.81
"Library Services Specialist III, Range 1",432219.09
"Physician, Range 8",459641.92
"Department Chair - 12 Month, Range 4",472843.75
"Facilities Worker II, Range 1",476364.16
"Building Service Engineer, Range 1",486065.71
"Coaching Specialist - 12 Month, Range 0",522873.41
"Coach - 12 Month, Range 0",560058.65
"Equipment Technician II, Electro-Mechanical, Range 1",631017.79
"Groundsworker, Range 1",648536.38
"Administrative Analyst/Specialist -12 Month, Range 3",654104.95
"Lead Custodian, Range 1",705120.53
"Instructional Support Technician II, Range 1",781612.43
"Confidential Administrative Support -12 Month, Range 2",821856.67
"Teaching Associate - Academic Year, Range 1",942532.02
"Public Affairs/Communication Specialist -12 Month, Range 2",996886.18
"Police Officer, Range 0",1013890.28
"Network Analyst -12, Range 2",1044863.65
"Administrative Support Assistant -12 Month, Range 2",1143025.34
"Coaching Assistant - 12 Month, Range 0",1185255.35
"Operating Systems Analyst -12, Range 2",1199557.65
"Instructional Student Assistant, Range 0",1513227.78
"Student Services Professional III, Range 1",1673649.42
"Department Chair - Academic Year, Range 5",1760673.58
"Lecturer - Academic Year, Range 5",1845300.5
"Analyst/Programmer -12, Range 2",2594833.64
"Administrative Support Coordinator -12 Month, Range 1",2925091.21
"Administrative Analyst/Specialist -12 Month, Range 1",3036096.84
"Student Services Professional II, Range 1",3055102.01
"Department Chair - 12 Month, Range 5",3235218.06
"Information Technology Consultant -12, Range 2",3431758.11
"Administrator IV, Range 1",3640325.6
"Administrative Support Coordinator -12 Month, Range 2",3838138.07
"Lecturer - Academic Year, Range 4",4140431.96
"Administrative Analyst/Specialist -12 Month, Range 2",4189326.45
"Lecturer - Academic Year, Range 2",4496340.59
"Administrator I, Range 1",4525661.4
"Custodian, Range 1",4785804.76
"Student Assistant, Range 0",7111884.58
"Administrator II, Range 1",8795500.56
"Lecturer - Academic Year, Range 3",9107992.87
"Administrator III, Range 1",10433852.98
"Instructional Faculty - Academic Year, Range 3",11356017.59
"Instructional Faculty - Academic Year, Range 4",15570112.1
"Instructional Faculty - Academic Year, Range 5",27361313.27
